,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
55,2000-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
56,2000-12-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
57,2000-12-01,232.0,1445,{'charge_slug': '54-retail-theft'},retail theft,1677.0
58,2000-12-01,120.0,302,{'charge_slug': '58-theft-from-building'},theft from building,422.0
59,2000-12-01,0.0,67,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,67.0
60,2001-01-01,0.0,61,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,61.0
61,2001-01-01,118.0,389,{'charge_slug': '58-theft-from-building'},theft from building,507.0
62,2001-01-01,249.0,1477,{'charge_slug': '54-retail-theft'},retail theft,1726.0
63,2001-01-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
64,2001-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
65,2001-02-01,1.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
66,2001-02-01,3.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,76.0
67,2001-02-01,218.0,1126,{'charge_slug': '54-retail-theft'},retail theft,1344.0
68,2001-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
69,2001-02-01,114.0,295,{'charge_slug': '58-theft-from-building'},theft from building,409.0
70,2001-03-01,141.0,349,{'charge_slug': '58-theft-from-building'},theft from building,490.0
71,2001-03-01,1.0,7,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,8.0
72,2001-03-01,265.0,1267,{'charge_slug': '54-retail-theft'},retail theft,1532.0
73,2001-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
74,2001-03-01,1.0,83,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,84.0
75,2001-04-01,0.0,76,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,76.0
76,2001-04-01,219.0,1125,{'charge_slug': '54-retail-theft'},retail theft,1344.0
77,2001-04-01,0.0,7,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,7.0
78,2001-04-01,112.0,343,{'charge_slug': '58-theft-from-building'},theft from building,455.0
79,2001-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
80,2001-05-01,157.0,363,{'charge_slug': '58-theft-from-building'},theft from building,520.0
81,2001-05-01,0.0,118,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,118.0
82,2001-05-01,0.0,7,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,7.0
83,2001-05-01,246.0,1178,{'charge_slug': '54-retail-theft'},retail theft,1424.0
84,2001-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
85,2001-06-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
86,2001-06-01,222.0,1238,{'charge_slug': '54-retail-theft'},retail theft,1460.0
87,2001-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
88,2001-06-01,181.0,367,{'charge_slug': '58-theft-from-building'},theft from building,548.0
89,2001-06-01,1.0,87,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,88.0
