,case_date,charges_f,charges_m,ucr,offense_type,charges_fm
277,2004-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
278,2004-08-01,130.0,402,{'charge_slug': '58-theft-from-building'},theft from building,532.0
279,2004-08-01,267.0,940,{'charge_slug': '54-retail-theft'},retail theft,1207.0
280,2004-09-01,270.0,895,{'charge_slug': '54-retail-theft'},retail theft,1165.0
281,2004-09-01,0.0,81,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,81.0
282,2004-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
283,2004-09-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
284,2004-09-01,112.0,396,{'charge_slug': '58-theft-from-building'},theft from building,508.0
285,2004-10-01,264.0,934,{'charge_slug': '54-retail-theft'},retail theft,1198.0
286,2004-10-01,0.0,89,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,89.0
287,2004-10-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
288,2004-10-01,128.0,311,{'charge_slug': '58-theft-from-building'},theft from building,439.0
289,2004-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
290,2004-11-01,1.0,66,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,67.0
291,2004-11-01,252.0,835,{'charge_slug': '54-retail-theft'},retail theft,1087.0
292,2004-11-01,82.0,281,{'charge_slug': '58-theft-from-building'},theft from building,363.0
293,2004-11-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
294,2004-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
295,2004-12-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
296,2004-12-01,270.0,978,{'charge_slug': '54-retail-theft'},retail theft,1248.0
297,2004-12-01,1.0,77,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,78.0
298,2004-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
299,2004-12-01,126.0,357,{'charge_slug': '58-theft-from-building'},theft from building,483.0
300,2005-01-01,0.0,50,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,50.0
301,2005-01-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
302,2005-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
303,2005-01-01,72.0,297,{'charge_slug': '58-theft-from-building'},theft from building,369.0
304,2005-01-01,286.0,871,{'charge_slug': '54-retail-theft'},retail theft,1157.0
305,2005-02-01,206.0,710,{'charge_slug': '54-retail-theft'},retail theft,916.0
306,2005-02-01,0.0,49,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,49.0
307,2005-02-01,98.0,244,{'charge_slug': '58-theft-from-building'},theft from building,342.0
308,2005-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
309,2005-02-01,1.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
310,2005-03-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
311,2005-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
312,2005-03-01,224.0,896,{'charge_slug': '54-retail-theft'},retail theft,1120.0
313,2005-03-01,127.0,320,{'charge_slug': '58-theft-from-building'},theft from building,447.0
314,2005-03-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
315,2005-04-01,1.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
316,2005-04-01,0.0,60,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,60.0
317,2005-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
318,2005-04-01,218.0,951,{'charge_slug': '54-retail-theft'},retail theft,1169.0
319,2005-04-01,103.0,314,{'charge_slug': '58-theft-from-building'},theft from building,417.0
320,2005-05-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
321,2005-05-01,0.0,58,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,58.0
322,2005-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
323,2005-05-01,100.0,343,{'charge_slug': '58-theft-from-building'},theft from building,443.0
324,2005-05-01,245.0,702,{'charge_slug': '54-retail-theft'},retail theft,947.0
325,2005-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
326,2005-06-01,1.0,87,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,88.0
327,2005-06-01,107.0,373,{'charge_slug': '58-theft-from-building'},theft from building,480.0
328,2005-06-01,258.0,986,{'charge_slug': '54-retail-theft'},retail theft,1244.0
329,2005-06-01,0.0,6,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,6.0
330,2005-07-01,90.0,341,{'charge_slug': '58-theft-from-building'},theft from building,431.0
331,2005-07-01,192.0,798,{'charge_slug': '54-retail-theft'},retail theft,990.0
332,2005-07-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
333,2005-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
334,2005-07-01,0.0,100,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,100.0
335,2005-08-01,244.0,910,{'charge_slug': '54-retail-theft'},retail theft,1154.0
336,2005-08-01,110.0,383,{'charge_slug': '58-theft-from-building'},theft from building,493.0
337,2005-08-01,2.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,6.0
338,2005-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
339,2005-08-01,1.0,93,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,94.0
340,2005-09-01,145.0,393,{'charge_slug': '58-theft-from-building'},theft from building,538.0
341,2005-09-01,208.0,918,{'charge_slug': '54-retail-theft'},retail theft,1126.0
342,2005-09-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
343,2005-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
344,2005-09-01,1.0,119,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,120.0
345,2005-10-01,0.0,79,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,79.0
346,2005-10-01,81.0,309,{'charge_slug': '58-theft-from-building'},theft from building,390.0
347,2005-10-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
348,2005-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
349,2005-10-01,212.0,796,{'charge_slug': '54-retail-theft'},retail theft,1008.0
350,2005-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
351,2005-11-01,141.0,314,{'charge_slug': '58-theft-from-building'},theft from building,455.0
352,2005-11-01,2.0,13,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,15.0
353,2005-11-01,243.0,913,{'charge_slug': '54-retail-theft'},retail theft,1156.0
354,2005-11-01,0.0,75,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,75.0
355,2005-12-01,0.0,4,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
356,2005-12-01,102.0,299,{'charge_slug': '58-theft-from-building'},theft from building,401.0
357,2005-12-01,2.0,64,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,66.0
358,2005-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
359,2005-12-01,271.0,955,{'charge_slug': '54-retail-theft'},retail theft,1226.0
360,2006-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
361,2006-01-01,80.0,302,{'charge_slug': '58-theft-from-building'},theft from building,382.0
362,2006-01-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
363,2006-01-01,274.0,876,{'charge_slug': '54-retail-theft'},retail theft,1150.0
364,2006-01-01,0.0,71,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,71.0
365,2006-02-01,0.0,7,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,7.0
366,2006-02-01,186.0,695,{'charge_slug': '54-retail-theft'},retail theft,881.0
367,2006-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
368,2006-02-01,0.0,46,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,46.0
369,2006-02-01,80.0,299,{'charge_slug': '58-theft-from-building'},theft from building,379.0
370,2006-03-01,0.0,47,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,47.0
371,2006-03-01,107.0,329,{'charge_slug': '58-theft-from-building'},theft from building,436.0
372,2006-03-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
373,2006-03-01,211.0,871,{'charge_slug': '54-retail-theft'},retail theft,1082.0
374,2006-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
375,2006-04-01,183.0,659,{'charge_slug': '54-retail-theft'},retail theft,842.0
376,2006-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
377,2006-04-01,76.0,278,{'charge_slug': '58-theft-from-building'},theft from building,354.0
378,2006-04-01,0.0,56,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,56.0
379,2006-04-01,1.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
380,2006-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
381,2006-05-01,1.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
382,2006-05-01,196.0,764,{'charge_slug': '54-retail-theft'},retail theft,960.0
383,2006-05-01,82.0,347,{'charge_slug': '58-theft-from-building'},theft from building,429.0
384,2006-05-01,0.0,71,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,71.0
385,2006-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
386,2006-06-01,106.0,370,{'charge_slug': '58-theft-from-building'},theft from building,476.0
387,2006-06-01,0.0,57,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,57.0
388,2006-06-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
389,2006-06-01,198.0,726,{'charge_slug': '54-retail-theft'},retail theft,924.0
390,2006-07-01,1.0,68,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,69.0
391,2006-07-01,110.0,360,{'charge_slug': '58-theft-from-building'},theft from building,470.0
392,2006-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
393,2006-07-01,173.0,663,{'charge_slug': '54-retail-theft'},retail theft,836.0
394,2006-07-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
395,2006-08-01,221.0,834,{'charge_slug': '54-retail-theft'},retail theft,1055.0
396,2006-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
397,2006-08-01,0.0,75,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,75.0
398,2006-08-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
399,2006-08-01,120.0,454,{'charge_slug': '58-theft-from-building'},theft from building,574.0
400,2006-09-01,100.0,325,{'charge_slug': '58-theft-from-building'},theft from building,425.0
401,2006-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
402,2006-09-01,177.0,739,{'charge_slug': '54-retail-theft'},retail theft,916.0
403,2006-09-01,0.0,75,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,75.0
404,2006-09-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
405,2006-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
406,2006-10-01,226.0,809,{'charge_slug': '54-retail-theft'},retail theft,1035.0
407,2006-10-01,93.0,323,{'charge_slug': '58-theft-from-building'},theft from building,416.0
408,2006-10-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
409,2006-10-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
410,2006-11-01,0.0,71,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,71.0
411,2006-11-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
412,2006-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
413,2006-11-01,200.0,729,{'charge_slug': '54-retail-theft'},retail theft,929.0
414,2006-11-01,75.0,322,{'charge_slug': '58-theft-from-building'},theft from building,397.0
415,2006-12-01,106.0,342,{'charge_slug': '58-theft-from-building'},theft from building,448.0
416,2006-12-01,0.0,67,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,67.0
417,2006-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
418,2006-12-01,228.0,905,{'charge_slug': '54-retail-theft'},retail theft,1133.0
419,2006-12-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
420,2007-01-01,245.0,843,{'charge_slug': '54-retail-theft'},retail theft,1088.0
421,2007-01-01,0.0,76,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,76.0
422,2007-01-01,111.0,366,{'charge_slug': '58-theft-from-building'},theft from building,477.0
423,2007-01-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
424,2007-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
425,2007-02-01,0.0,52,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,52.0
426,2007-02-01,3.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,4.0
427,2007-02-01,148.0,576,{'charge_slug': '54-retail-theft'},retail theft,724.0
428,2007-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
429,2007-02-01,74.0,222,{'charge_slug': '58-theft-from-building'},theft from building,296.0
430,2007-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
431,2007-03-01,211.0,792,{'charge_slug': '54-retail-theft'},retail theft,1003.0
432,2007-03-01,1.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
433,2007-03-01,0.0,77,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,77.0
434,2007-03-01,119.0,289,{'charge_slug': '58-theft-from-building'},theft from building,408.0
435,2007-04-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
436,2007-04-01,183.0,746,{'charge_slug': '54-retail-theft'},retail theft,929.0
437,2007-04-01,66.0,312,{'charge_slug': '58-theft-from-building'},theft from building,378.0
438,2007-04-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
439,2007-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
440,2007-05-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
441,2007-05-01,88.0,371,{'charge_slug': '58-theft-from-building'},theft from building,459.0
442,2007-05-01,0.0,79,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,79.0
443,2007-05-01,209.0,804,{'charge_slug': '54-retail-theft'},retail theft,1013.0
444,2007-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
445,2007-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
446,2007-06-01,85.0,333,{'charge_slug': '58-theft-from-building'},theft from building,418.0
447,2007-06-01,0.0,60,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,60.0
448,2007-06-01,232.0,789,{'charge_slug': '54-retail-theft'},retail theft,1021.0
449,2007-06-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
450,2007-07-01,203.0,809,{'charge_slug': '54-retail-theft'},retail theft,1012.0
451,2007-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
452,2007-07-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
453,2007-07-01,0.0,73,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,73.0
454,2007-07-01,98.0,383,{'charge_slug': '58-theft-from-building'},theft from building,481.0
455,2007-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
456,2007-08-01,217.0,736,{'charge_slug': '54-retail-theft'},retail theft,953.0
457,2007-08-01,106.0,384,{'charge_slug': '58-theft-from-building'},theft from building,490.0
458,2007-08-01,0.0,98,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,98.0
459,2007-08-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
460,2007-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
461,2007-09-01,0.0,5,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,5.0
462,2007-09-01,0.0,80,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,80.0
463,2007-09-01,89.0,351,{'charge_slug': '58-theft-from-building'},theft from building,440.0
464,2007-09-01,190.0,709,{'charge_slug': '54-retail-theft'},retail theft,899.0
465,2007-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
466,2007-10-01,0.0,88,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,88.0
467,2007-10-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
468,2007-10-01,120.0,373,{'charge_slug': '58-theft-from-building'},theft from building,493.0
469,2007-10-01,229.0,886,{'charge_slug': '54-retail-theft'},retail theft,1115.0
470,2007-11-01,0.0,72,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,72.0
471,2007-11-01,85.0,253,{'charge_slug': '58-theft-from-building'},theft from building,338.0
472,2007-11-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
473,2007-11-01,204.0,778,{'charge_slug': '54-retail-theft'},retail theft,982.0
474,2007-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
475,2007-12-01,0.0,59,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,59.0
476,2007-12-01,89.0,310,{'charge_slug': '58-theft-from-building'},theft from building,399.0
477,2007-12-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
478,2007-12-01,211.0,917,{'charge_slug': '54-retail-theft'},retail theft,1128.0
479,2007-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
480,2008-01-01,1.0,54,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,55.0
481,2008-01-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
482,2008-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
483,2008-01-01,95.0,370,{'charge_slug': '58-theft-from-building'},theft from building,465.0
484,2008-01-01,241.0,873,{'charge_slug': '54-retail-theft'},retail theft,1114.0
485,2008-02-01,200.0,732,{'charge_slug': '54-retail-theft'},retail theft,932.0
486,2008-02-01,0.0,41,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,41.0
487,2008-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
488,2008-02-01,92.0,221,{'charge_slug': '58-theft-from-building'},theft from building,313.0
489,2008-02-01,1.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
490,2008-03-01,0.0,43,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,43.0
491,2008-03-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
492,2008-03-01,75.0,272,{'charge_slug': '58-theft-from-building'},theft from building,347.0
493,2008-03-01,194.0,763,{'charge_slug': '54-retail-theft'},retail theft,957.0
494,2008-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
495,2008-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
496,2008-04-01,123.0,356,{'charge_slug': '58-theft-from-building'},theft from building,479.0
497,2008-04-01,0.0,2,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
498,2008-04-01,252.0,905,{'charge_slug': '54-retail-theft'},retail theft,1157.0
499,2008-04-01,0.0,76,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,76.0
500,2008-05-01,254.0,794,{'charge_slug': '54-retail-theft'},retail theft,1048.0
501,2008-05-01,0.0,67,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,67.0
502,2008-05-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
503,2008-05-01,105.0,313,{'charge_slug': '58-theft-from-building'},theft from building,418.0
504,2008-05-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
505,2008-06-01,218.0,843,{'charge_slug': '54-retail-theft'},retail theft,1061.0
506,2008-06-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
507,2008-06-01,0.0,77,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,77.0
508,2008-06-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
509,2008-06-01,76.0,312,{'charge_slug': '58-theft-from-building'},theft from building,388.0
510,2008-07-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
511,2008-07-01,75.0,402,{'charge_slug': '58-theft-from-building'},theft from building,477.0
512,2008-07-01,0.0,63,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,63.0
513,2008-07-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
514,2008-07-01,243.0,821,{'charge_slug': '54-retail-theft'},retail theft,1064.0
515,2008-08-01,0.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,1.0
516,2008-08-01,0.0,75,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,75.0
517,2008-08-01,83.0,400,{'charge_slug': '58-theft-from-building'},theft from building,483.0
518,2008-08-01,260.0,938,{'charge_slug': '54-retail-theft'},retail theft,1198.0
519,2008-08-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
520,2008-09-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
521,2008-09-01,231.0,855,{'charge_slug': '54-retail-theft'},retail theft,1086.0
522,2008-09-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
523,2008-09-01,0.0,74,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,74.0
524,2008-09-01,94.0,336,{'charge_slug': '58-theft-from-building'},theft from building,430.0
525,2008-10-01,115.0,378,{'charge_slug': '58-theft-from-building'},theft from building,493.0
526,2008-10-01,0.0,90,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,90.0
527,2008-10-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
528,2008-10-01,236.0,998,{'charge_slug': '54-retail-theft'},retail theft,1234.0
529,2008-10-01,0.0,3,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,3.0
530,2008-11-01,0.0,46,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,46.0
531,2008-11-01,86.0,235,{'charge_slug': '58-theft-from-building'},theft from building,321.0
532,2008-11-01,201.0,813,{'charge_slug': '54-retail-theft'},retail theft,1014.0
533,2008-11-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
534,2008-11-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
535,2008-12-01,269.0,970,{'charge_slug': '54-retail-theft'},retail theft,1239.0
536,2008-12-01,79.0,295,{'charge_slug': '58-theft-from-building'},theft from building,374.0
537,2008-12-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
538,2008-12-01,0.0,44,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,44.0
539,2008-12-01,1.0,1,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,2.0
540,2009-01-01,241.0,823,{'charge_slug': '54-retail-theft'},retail theft,1064.0
541,2009-01-01,86.0,247,{'charge_slug': '58-theft-from-building'},theft from building,333.0
542,2009-01-01,0.0,49,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,49.0
543,2009-01-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
544,2009-01-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
545,2009-02-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
546,2009-02-01,216.0,639,{'charge_slug': '54-retail-theft'},retail theft,855.0
547,2009-02-01,59.0,239,{'charge_slug': '58-theft-from-building'},theft from building,298.0
548,2009-02-01,0.0,47,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,47.0
549,2009-02-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
550,2009-03-01,0.0,0,{'charge_slug': '59-theft-from-coin-operated-machine-or-device'},theft from coin operated machine or device,0.0
551,2009-03-01,0.0,40,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,40.0
552,2009-03-01,80.0,259,{'charge_slug': '58-theft-from-building'},theft from building,339.0
553,2009-03-01,209.0,807,{'charge_slug': '54-retail-theft'},retail theft,1016.0
554,2009-03-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
555,2009-04-01,2.0,18,{'charge_slug': '50-theft-of-lost-or-mislaid-property'},theft of lost or mislaid property,20.0
556,2009-04-01,82.0,252,{'charge_slug': '58-theft-from-building'},theft from building,334.0
557,2009-04-01,,0,{'charge_slug': '55-delivery-container-theft'},delivery container theft,
558,2009-04-01,228.0,869,{'charge_slug': '54-retail-theft'},retail theft,1097.0
